"","year","chinook","pod","heading","whales","sot.n","tot.time","rolling","cartwheel","breach","pecslap","dorsal.slap","tailslap","other.perc","spyhop","tide","tot.breach","tot.perc","pwm","bwm","swm","npods"
"105",2001,2.82,"K","N",13,1.92,48,0,0,0,0,0,10,0,0,"ebb",0,10,0.016025641025641,0,0,1
"106",2001,2.82,"JL","N",44,0.61,44,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,2
"107",2001,2.82,"L","N",1,1,2,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"108",2001,2.82,"K","S",20,1.95,65,0,0,1,0,0,2,1,0,"flood",1,3,0.00230769230769231,0.000769230769230769,0,1
"109",2001,2.82,"K","S",11,1.18,21,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"110",2001,2.82,"JK","N",26,0.92,35,0,0,0,0,1,5,0,1,"flood",0,6,0.00659340659340659,0,0.0010989010989011,2
"111",2001,2.82,"K","S",13,1.77,37,0,0,0,0,0,1,0,0,"flood",0,1,0.00207900207900208,0,0,1
"112",2001,2.82,"L","S",12,0.83,22,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"113",2001,2.82,"J","N",14,1.07,109,0,2,2,0,0,2,2,1,"ebb",4,4,0.00262123197903014,0.00262123197903014,0.000655307994757536,1
"114",2001,2.82,"JK","S",3,0.33,43,0,0,0,0,0,1,0,0,"slack",0,1,0.00775193798449612,0,0,2
"115",2001,2.82,"JK","N",24,0.38,21,0,6,5,1,0,15,0,3,"flood",11,16,0.0317460317460317,0.0218253968253968,0.00595238095238095,2
"116",2001,2.82,"K","NS",17,NA,52,1,1,1,0,0,1,0,0,"ebb",2,1,0.00113122171945701,0.00226244343891403,0,1
"117",2001,2.82,"L","S",16,1,26,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"118",2001,2.82,"K","S",9,3.44,40,0,0,0,0,0,0,1,0,"ebb",0,1,0.00277777777777778,0,0,1
"119",2001,2.82,"JK","N",34,0.03,41,0,0,0,0,0,0,0,1,"ebb",0,0,0,0,0.000717360114777618,2
"120",2001,2.82,"K","NS",12,NA,39,1,0,6,1,0,7,3,1,"slack",6,11,0.0235042735042735,0.0128205128205128,0.00213675213675214,1
"121",2001,2.82,"JK","N",37,0.95,70,6,4,10,5,0,26,5,13,"ebb",14,36,0.0138996138996139,0.00540540540540541,0.00501930501930502,2
"122",2001,2.82,"K","N",11,1.73,35,0,0,1,0,0,0,1,0,"flood",1,1,0.0025974025974026,0.0025974025974026,0,1
"123",2001,2.82,"K","S",13,1.54,40,0,0,1,0,0,0,0,0,"flood",1,0,0,0.00192307692307692,0,1
"124",2001,2.82,"K","S",5,0.2,11,0,0,0,0,0,0,2,0,"slack",0,2,0.0363636363636364,0,0,1
"125",2001,2.82,"K","N",9,0.78,26,0,0,1,0,0,0,0,0,"flood",1,0,0,0.00427350427350427,0,1
"126",2001,2.82,"JKL","N",30,0.33,22,4,3,5,8,0,27,0,5,"flood",8,35,0.053030303030303,0.0121212121212121,0.00757575757575758,3
"127",2001,2.82,"JKL","S",38,0.18,23,0,0,10,0,0,0,0,0,"flood",10,0,0,0.011441647597254,0,3
"128",2001,2.82,"JK","S",35,1.26,80,2,7,11,4,0,12,2,2,"flood",18,18,0.00642857142857143,0.00642857142857143,0.000714285714285714,2
"129",2001,2.82,"L","SN",15,NA,82,1,0,2,0,0,3,0,0,"flood",2,3,0.0024390243902439,0.0016260162601626,0,1
"130",2001,2.82,"JK","NS",3,NA,66,1,2,4,0,0,6,0,0,"ebb",6,6,0.0303030303030303,0.0303030303030303,0,2
"131",2001,2.82,"J","N",19,1.26,39,1,0,1,2,1,1,1,2,"flood",1,5,0.00674763832658569,0.00134952766531714,0.00269905533063428,1
"132",2001,2.82,"K","S",17,0.06,13,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"133",2001,2.82,NA,"S",24,1.92,59,0,2,2,3,0,26,2,5,"ebb",4,31,0.0218926553672316,0.00282485875706215,0.00353107344632768,NA
"134",2001,2.82,"JL","N",35,1.97,96,8,4,6,13,1,40,2,7,"ebb",10,56,0.0166666666666667,0.00297619047619048,0.00208333333333333,2
"135",2001,2.82,"L","N",14,NA,90,0,0,0,0,0,2,0,0,"ebb",0,2,0.00158730158730159,0,0,1
"136",2001,2.82,"L","S",7,NA,18,0,0,1,0,0,1,0,0,"flood",1,1,0.00793650793650794,0.00793650793650794,0,1
"137",2001,2.82,"KL","N",46,NA,48,0,1,2,1,0,25,2,2,"flood",3,28,0.0126811594202899,0.00135869565217391,0.000905797101449275,2
"138",2001,2.82,"K","NS",17,NA,55,0,1,8,0,0,5,0,0,"ebb",9,5,0.0053475935828877,0.00962566844919786,0,1
"139",2001,2.82,"L","S",3,NA,10,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"140",2001,2.82,"JK","NS",22,NA,94,1,0,5,1,0,16,1,3,"flood",5,18,0.00870406189555126,0.00241779497098646,0.00145067698259188,2
"141",2001,2.82,"J","N",20,NA,35,0,0,2,0,0,0,0,0,"flood",2,0,0,0.00285714285714286,0,1
"142",2001,2.82,"K","NS",8,NA,14,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"143",2001,2.82,"K","NS",26,NA,79,0,0,0,0,0,2,0,0,"slack",0,2,0.000973709834469328,0,0,1
"144",2001,2.82,NA,"S",6,NA,14,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,NA
"145",2001,2.82,"L","NS",7,NA,62,1,0,0,0,0,1,0,0,"flood",0,1,0.00230414746543779,0,0,1
"146",2001,2.82,"JKL","N",48,NA,50,0,2,2,6,0,20,0,4,"flood",4,26,0.0108333333333333,0.00166666666666667,0.00166666666666667,3
"147",2001,2.82,"JK","S",21,0.33,20,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,2
"148",2001,2.82,"JK","N",25,0.52,27,0,0,1,0,0,1,1,1,"flood",1,2,0.00296296296296296,0.00148148148148148,0.00148148148148148,2
"149",2001,2.82,"L","S",1,1,10,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"150",2001,2.82,"JK","S",19,0.32,14,0,1,0,0,0,1,1,0,"slack",1,2,0.0075187969924812,0.0037593984962406,0,2
"151",2001,2.82,"JL","N",24,0.46,33,2,2,4,0,0,3,3,0,"ebb",6,6,0.00757575757575758,0.00757575757575758,0,2
"152",2001,2.82,"L","S",5,0.4,15,0,0,0,0,0,0,0,0,"slack",0,0,0,0,0,1
"153",2001,2.82,"JKL","N",38,1.08,203,0,1,0,0,0,3,3,0,"flood",1,6,0.00077780658542909,0.000129634430904848,0,3
"154",2001,2.82,"L","S",38,1.03,54,0,0,3,0,0,0,0,4,"flood",3,0,0,0.00146198830409357,0.00194931773879142,1
"155",2001,2.82,"L","N",46,1.3,103,3,2,6,10,1,53,5,15,"slack",8,69,0.0145631067961165,0.00168847615027438,0.00316589278176446,1
"156",2001,2.82,"JKL","N",46,2.8,153,4,3,3,6,1,43,3,5,"flood",6,53,0.00753054845126456,0.000852514919011083,0.000710429099175902,3
"157",2001,2.82,"L","N",3,0.33,40,0,5,4,0,1,4,0,1,"flood",9,5,0.0416666666666667,0.075,0.00833333333333333,1
"158",2001,2.82,NA,"S",5,1.2,51,0,0,0,0,0,4,3,0,"flood",0,7,0.0274509803921569,0,0,NA
"159",2001,2.82,"JKL","N",27,1.19,56,2,4,2,5,0,34,6,4,"flood",6,45,0.0297619047619048,0.00396825396825397,0.00264550264550265,3
